Nama_File,Drive_ID,Link_Drive
siswa_1_Pendidikan Kepercayaan Terhadap Tuhan Yang Maha Esa dan Budi Pekerti untuk SD Kelas I.pdf,13L64VeTOwztwz3kLn7ghoQLijE_106fz,https://drive.google.com/file/d/13L64VeTOwztwz3kLn7ghoQLijE_106fz/view?usp=drivesdk
siswa_6_Pendidikan Agama Kristen dan Budi Pekerti untuk SD Kelas VI.pdf,1gcnEN3ID6eCYbk6_FpUpf7Id_q-eebsF,https://drive.google.com/file/d/1gcnEN3ID6eCYbk6_FpUpf7Id_q-eebsF/view?usp=drivesdk
siswa_6_Pendidikan Kepercayaan Terhadap Tuhan Yang Maha Esa dan Budi Pekerti untuk SD Kelas VI.pdf,1VwCy2foNtZOac9F0df4iX6wFvdKyWBJc,https://drive.google.com/file/d/1VwCy2foNtZOac9F0df4iX6wFvdKyWBJc/view?usp=drivesdk
siswa_6_Pendidikan Pancasila untuk SDMI Kelas VI.pdf,1wHaAAv2Ve4zNAnAPBdDx0gFj3zU18-L-,https://drive.google.com/file/d/1wHaAAv2Ve4zNAnAPBdDx0gFj3zU18-L-/view?usp=drivesdk
siswa_6_Pendidikan Agama Katolik dan Budi Pekerti untuk SD Kelas VI.pdf,1pMUrKWbHJBBRpXjR2AOqA0U-ePChDCZ9,https://drive.google.com/file/d/1pMUrKWbHJBBRpXjR2AOqA0U-ePChDCZ9/view?usp=drivesdk
"siswa_6_Pendidikan Jasmani, Olahraga, dan Kesehatan untuk SDMI Kelas VI.pdf",1_IJjTUjMmVQhuzEvEBgeYLRmdEHK0-hX,https://drive.google.com/file/d/1_IJjTUjMmVQhuzEvEBgeYLRmdEHK0-hX/view?usp=drivesdk
siswa_6_Pendidikan Agama Hindu dan Budi Pekerti untuk SD Kelas VI.pdf,1asIAE_uK_8MoBDTy2nRAgrRz0uYs7oYp,https://drive.google.com/file/d/1asIAE_uK_8MoBDTy2nRAgrRz0uYs7oYp/view?usp=drivesdk
siswa_6_Pendidikan Agama Khonghucu dan Budi Pekerti untuk SD Kelas VI.pdf,1LUk6-D0uuYxODO8q1-RxSf7JwsZjO6nA,https://drive.google.com/file/d/1LUk6-D0uuYxODO8q1-RxSf7JwsZjO6nA/view?usp=drivesdk
siswa_6_Pendidikan Agama Buddha dan Budi Pekerti untuk SD Kelas VI.pdf,146E34uEPDpKjTXdhblI10lMsURiv7Jq5,https://drive.google.com/file/d/146E34uEPDpKjTXdhblI10lMsURiv7Jq5/view?usp=drivesdk
siswa_6_Pendidikan Agama Islam dan Budi Pekerti untuk SDMI Kelas VI.pdf,1hgzq9Ol6AQPAraybZ6HQZY647q-3DX9Q,https://drive.google.com/file/d/1hgzq9Ol6AQPAraybZ6HQZY647q-3DX9Q/view?usp=drivesdk
siswa_6_Bahasa Inggris English for Nusantara Kids untuk SDMI Kelas VI.pdf,1ht9CiQmiOccx9UbbOBqjVIOxrn7_RhZD,https://drive.google.com/file/d/1ht9CiQmiOccx9UbbOBqjVIOxrn7_RhZD/view?usp=drivesdk
siswa_6_Ilmu Pengetahuan Alam dan Sosial untuk SDMI Kelas VI (Edisi Revisi).pdf,1VIipap-1BQ2C5iV1GonBrNuU2IAESWdj,https://drive.google.com/file/d/1VIipap-1BQ2C5iV1GonBrNuU2IAESWdj/view?usp=drivesdk
siswa_6_Matematika untuk SDMI Kelas VI.pdf,1pdgPBU_m9dHmpPkVbSfZwicl9vELvIoT,https://drive.google.com/file/d/1pdgPBU_m9dHmpPkVbSfZwicl9vELvIoT/view?usp=drivesdk
